class,precision,recall,mAP50,mAP50_95
backpack,0.104,0.011,0.039,0.016
truck,0.362,0.233,0.193,0.098
bench,0.267,0.256,0.194,0.086
chair,0.365,0.207,0.2,0.097
potted plant,0.286,0.322,0.236,0.111
refrigerator,0.447,0.273,0.256,0.152
bicycle,0.446,0.205,0.258,0.106
couch,0.268,0.327,0.271,0.173
dining table,0.522,0.283,0.304,0.198
traffic light,0.558,0.344,0.336,0.201
car,0.676,0.427,0.48,0.289
Window,0.559,0.479,0.497,0.293
bus,0.677,0.48,0.506,0.39
tv,0.513,0.51,0.51,0.385
dog,0.544,0.564,0.532,0.384
motorcycle,0.691,0.459,0.597,0.347
stop sign,0.425,0.571,0.597,0.543
person,0.783,0.576,0.678,0.436
cat,0.754,0.675,0.71,0.467
Door,0.703,0.624,0.714,0.518
Stair,0.843,0.709,0.819,0.606
