timestamp_ms,inference_ms,fps,detections,convert_ms,rotate_ms,letterbox_ms,infer_ms,parse_ms
1787770099591,670.2,0.0,1,6.22,14.59,1.21,645.14,3.04
1787770099937,308.4,2.9,1,9.57,23.55,0.56,271.74,2.96
1787770100604,639.9,1.97,1,8.79,32.86,0.77,595.09,2.33
1787770100941,336.1,2.22,1,7.02,25.47,0.36,297.23,6.05
1787770101636,683.9,1.96,1,6.14,24.34,1.11,649.75,2.56
1787770102033,376.7,2.05,1,8.89,32.62,0.48,330.52,4.18
1787770102729,669.8,1.91,1,10.91,29.22,1.23,625.71,2.73
1787770103126,377.0,1.98,1,11.53,34.34,0.7,327.39,3.07
1787770103937,752.2,1.84,1,12.71,39.98,0.93,695.26,3.29
1787770104337,368.5,1.9,1,12.85,31.97,0.71,320.19,2.77
1787770105095,740.2,1.82,1,8.84,39.84,1.2,682.68,7.57
1787770105489,361.9,1.87,1,18.94,35.83,0.71,303.82,2.6
1787770106284,732.9,1.79,1,8.46,27.2,1.2,693.1,2.88
1787770106674,339.7,1.84,1,15.31,41.93,0.52,279.28,2.65
1787770107377,695.8,1.8,1,11.71,27.36,0.91,653.29,2.55
1787770107770,373.8,1.83,1,14.76,26.41,0.7,329.43,2.5
1787770108501,704.4,1.8,1,6.18,29.08,1.16,663.83,4.1
1787770108877,357.0,1.83,3,11.87,29.86,0.49,312.12,2.66
1787770109608,709.7,1.8,2,8.32,42.79,0.92,654.85,2.77
1787770109966,345.9,1.83,0,9.74,20.37,0.45,312.39,2.95
1787770110689,698.6,1.8,2,19.84,51.03,0.95,622.56,4.15
1787770111042,352.0,1.83,2,8.58,29.77,0.5,310.33,2.83
1787770111780,716.5,1.8,2,9.6,28.83,0.94,673.94,3.14
1787770112134,338.4,1.83,2,9.81,29.81,0.48,295.88,2.46
1787770112916,753.9,1.8,2,19.02,43.11,1.17,687.74,2.8
1787770113295,370.9,1.82,2,8.61,32.82,0.49,322.74,6.21
1787770114028,704.9,1.8,1,14.51,39.79,0.99,646.76,2.77
1787770114415,359.6,1.82,1,9.34,29.6,0.53,317.55,2.54
1787770115122,701.2,1.8,1,6.22,25.5,1.27,665.24,2.97
1787770115525,370.3,1.82,1,15.53,28.86,0.73,322.36,2.77
1787770116273,716.8,1.8,1,15.88,30.18,1.21,666.57,2.91
1787770116701,400.3,1.79,1,11.32,26.2,0.7,359.24,2.77
1787770117442,732.2,1.78,1,8.26,45.49,0.98,674.66,2.77
1787770117833,375.7,1.78,1,9.05,34.26,0.69,329.11,2.55
1787770118580,726.0,1.77,1,13.66,43.34,1.21,664.06,3.73
1787770118958,371.4,1.77,1,8.88,32.13,0.72,326.75,2.91
1787770119745,755.3,1.76,0,17.14,39.8,1.0,694.84,2.48
1787770120119,362.2,1.77,0,11.23,32.58,0.46,315.21,2.71
1787770120847,689.2,1.77,0,10.17,36.98,1.14,638.41,2.48
1787770121263,370.9,1.77,0,12.7,22.59,0.61,332.51,2.5
1787770122079,782.6,1.77,1,16.83,36.53,0.93,725.57,2.72
1787770122503,422.4,1.76,0,8.72,34.17,0.45,376.17,2.89
1787770123284,776.9,1.76,0,9.99,35.49,1.07,727.8,2.49
1787770123713,385.7,1.76,0,19.05,36.85,0.73,321.6,7.41
1787770124445,710.9,1.76,1,6.55,26.73,0.94,673.66,3.04
1787770124819,368.7,1.76,1,8.92,33.66,0.47,323.22,2.39
1787770125658,804.3,1.75,2,9.25,44.58,1.1,746.44,2.92
1787770126066,377.1,1.75,2,10.04,40.84,0.73,322.16,3.29
1787770126814,730.8,1.74,0,17.15,47.83,1.15,662.12,2.48
1787770127188,358.1,1.74,1,10.67,29.05,0.43,315.15,2.82
1787770127907,712.6,1.74,1,6.22,21.23,1.2,679.94,4.03
1787770128291,366.3,1.74,2,13.0,29.68,0.71,320.02,2.87
1787770129073,752.8,1.73,0,8.42,27.63,0.94,713.12,2.67
1787770129493,388.3,1.73,6,16.38,39.91,0.44,328.59,2.92
1787770130282,772.6,1.73,6,9.21,28.5,1.22,730.72,2.92
1787770130686,375.4,1.73,7,9.61,32.82,0.45,329.61,2.89
1787770131482,762.8,1.72,5,9.33,34.59,0.93,714.73,3.25
1787770131909,389.0,1.71,5,11.53,36.56,0.74,337.53,2.66
1787770132723,778.2,1.7,5,10.13,26.13,1.17,737.85,2.92
1787770133158,408.0,1.7,3,10.04,28.36,0.42,362.58,6.54
1787770134004,842.3,1.69,3,6.96,29.21,1.21,801.13,3.74
1787770134402,385.2,1.69,1,9.08,34.81,0.76,337.37,3.21
1787770135201,780.1,1.69,2,8.82,36.22,1.54,730.22,3.31
1787770135665,454.6,1.68,1,10.63,43.36,0.71,396.37,3.53
1787770136439,754.0,1.68,2,8.53,33.25,0.97,707.83,3.39
1787770136832,378.4,1.68,1,8.44,38.68,0.48,328.23,2.52
1787770137649,797.4,1.68,1,13.96,57.71,0.93,721.49,3.31
1787770138083,414.1,1.67,1,16.76,25.66,0.47,368.39,2.79
1787770138915,803.3,1.66,1,8.68,37.97,1.11,752.75,2.73
1787770139318,378.1,1.66,1,14.16,29.4,0.49,331.45,2.54
1787770140191,847.3,1.66,1,8.27,37.53,1.21,797.44,2.81
1787770140649,432.7,1.65,1,19.92,38.85,0.69,370.6,2.58
1787770141445,766.7,1.65,2,9.4,35.11,0.92,718.06,3.2
1787770141858,385.5,1.65,1,9.49,44.51,0.83,326.95,3.69
1787770142644,762.1,1.65,1,18.98,24.7,1.21,714.44,2.76
1787770143096,419.5,1.64,1,13.9,42.45,0.7,359.85,2.56
1787770143902,789.6,1.64,0,12.21,30.39,0.99,742.9,3.12
1787770144251,346.6,1.65,0,10.01,25.26,0.51,305.52,5.25
1787770144994,728.2,1.65,0,9.96,26.09,1.19,688.01,2.89
1787770145388,386.1,1.65,0,8.49,31.37,0.7,343.04,2.5
1787770146178,772.7,1.64,0,7.96,37.2,1.01,724.07,2.4
1787770146626,417.3,1.64,0,20.3,49.62,0.71,344.13,2.5
1787770147347,709.6,1.64,0,6.57,25.89,0.94,673.46,2.75
1787770147761,396.6,1.64,0,11.89,44.27,0.71,337.32,2.35
1787770148495,734.0,1.65,0,6.02,27.7,0.95,695.5,3.78
1787770148860,357.4,1.65,0,8.6,33.5,0.52,312.37,2.41
1787770149648,759.0,1.65,1,10.95,30.16,0.89,714.31,2.63
1787770150055,378.9,1.65,2,10.41,45.04,0.7,320.15,2.58
1787770150825,754.2,1.66,1,9.03,40.16,1.11,701.24,2.67
1787770151227,391.7,1.66,1,8.58,32.02,1.53,346.8,2.77
1787770151975,739.1,1.67,1,6.05,29.65,1.05,697.96,4.36
1787770152401,384.5,1.67,1,10.76,38.98,0.45,330.56,3.78
1787770153165,749.9,1.67,1,13.47,33.42,0.92,699.33,2.79
1787770153593,385.4,1.67,1,11.09,33.03,4.01,334.75,2.51
1787770154343,738.7,1.68,3,12.28,32.56,0.9,690.07,2.85
1787770154759,385.7,1.67,2,10.97,38.87,0.59,332.82,2.43
1787770155499,721.4,1.68,2,10.63,38.81,1.16,668.04,2.78
1787770155846,342.7,1.69,1,10.81,28.35,0.52,299.97,3.06
1787770156659,812.0,1.69,1,9.7,25.06,0.95,773.54,2.77
1787770157132,461.2,1.68,2,9.51,34.08,0.51,413.76,3.32
1787770157943,796.4,1.69,2,6.98,52.35,1.23,732.98,2.86
1787770158358,390.0,1.69,3,15.06,38.92,0.78,332.18,3.08
1787770159091,728.1,1.7,2,14.26,34.34,1.06,675.17,3.2
1787770159520,411.0,1.7,1,8.87,32.53,0.5,365.01,4.06
1787770160337,800.3,1.7,1,8.91,36.87,1.04,746.79,6.67
1787770160772,382.6,1.7,1,8.91,25.48,0.75,344.59,2.86
1787770161601,779.8,1.7,1,12.91,31.66,0.96,731.28,2.99
1787770162054,412.3,1.69,0,13.7,44.28,0.5,351.09,2.76
1787770162842,773.6,1.68,0,10.59,38.07,1.25,720.36,3.26
1787770163262,400.8,1.68,2,16.16,37.22,0.75,342.46,4.22
1787770164065,781.3,1.68,1,6.68,47.53,0.97,723.08,3.0
1787770164490,396.1,1.68,1,12.08,36.85,0.79,343.3,3.02
1787770165285,785.9,1.67,1,9.55,38.53,0.93,734.1,2.78
1787770165664,364.3,1.68,0,12.27,34.3,0.5,314.38,2.83
1787770166523,805.8,1.66,1,16.97,34.43,0.98,750.06,3.37
1787770166911,383.0,1.66,1,11.47,30.31,0.56,337.86,2.81
1787770167746,809.8,1.66,1,10.13,41.44,1.4,753.62,3.17
1787770168179,419.8,1.66,1,9.51,33.84,0.51,373.23,2.72
