ENVISION — COCO MODEL ACCURACY
================================================

Overall precision : 0.639
Overall recall    : 0.536
mAP@50            : 0.605
mAP@50-95         : 0.445

Per-class mAP@50-95 (classes with validation instances):
  bear          : 0.995 (0 instances)
  zebra         : 0.964 (0 instances)
  cake          : 0.879 (0 instances)
  donut         : 0.863 (0 instances)
  pizza         : 0.841 (0 instances)
  vase          : 0.795 (0 instances)
  cat           : 0.789 (0 instances)
  clock         : 0.737 (0 instances)
  hot dog       : 0.720 (0 instances)
  giraffe       : 0.717 (0 instances)
  motorcycle    : 0.717 (0 instances)
  microwave     : 0.717 (0 instances)
  stop sign     : 0.700 (0 instances)
  tv            : 0.695 (0 instances)
  bus           : 0.689 (0 instances)
  frisbee       : 0.675 (0 instances)
  toilet        : 0.675 (0 instances)
  elephant      : 0.675 (0 instances)
  airplane      : 0.672 (0 instances)
  orange        : 0.621 (0 instances)
  bed           : 0.616 (0 instances)
  train         : 0.601 (0 instances)
  dog           : 0.584 (0 instances)
  couch         : 0.546 (0 instances)
  person        : 0.532 (0 instances)
  remote        : 0.530 (0 instances)
  suitcase      : 0.520 (0 instances)
  horse         : 0.518 (0 instances)
  bird          : 0.508 (0 instances)
  snowboard     : 0.499 (0 instances)
  skis          : 0.497 (0 instances)
  bowl          : 0.492 (0 instances)
  potted plant  : 0.484 (0 instances)
  tie           : 0.473 (0 instances)
  refrigerator  : 0.438 (0 instances)
  umbrella      : 0.416 (0 instances)
  skateboard    : 0.406 (0 instances)
  teddy bear    : 0.388 (0 instances)
  toothbrush    : 0.372 (0 instances)
  knife         : 0.368 (0 instances)
  dining table  : 0.367 (0 instances)
  bench         : 0.364 (0 instances)
  laptop        : 0.361 (0 instances)
  carrot        : 0.358 (0 instances)
  sandwich      : 0.332 (0 instances)
  wine glass    : 0.328 (0 instances)
  tennis racket : 0.313 (0 instances)
  sports ball   : 0.311 (0 instances)
  truck         : 0.293 (0 instances)
  cup           : 0.278 (0 instances)
  baseball glove: 0.270 (0 instances)
  oven          : 0.267 (0 instances)
  bicycle       : 0.261 (0 instances)
  chair         : 0.237 (0 instances)
  backpack      : 0.231 (0 instances)
  bottle        : 0.203 (0 instances)
  broccoli      : 0.201 (0 instances)
  baseball bat  : 0.198 (0 instances)
  spoon         : 0.186 (0 instances)
  book          : 0.185 (0 instances)
  fork          : 0.182 (0 instances)
  kite          : 0.177 (0 instances)
  car           : 0.162 (0 instances)
  traffic light : 0.136 (0 instances)
  boat          : 0.134 (0 instances)
  sink          : 0.125 (0 instances)
  handbag       : 0.086 (0 instances)
  scissors      : 0.075 (0 instances)
  banana        : 0.044 (0 instances)
  cell phone    : 0.033 (0 instances)
  mouse         : 0.004 (0 instances)
