timestamp_ms,inference_ms,fps,detections
1780265788477,2776.0,0.0,0
1780265790063,1570.0,0.63,0
1780265791601,1514.0,0.64,0
1780265793261,1637.0,0.63,1
1780265796300,3007.0,0.51,1
1780265797936,1603.0,0.53,4
1780265799504,1525.0,0.54,4
1780265801117,1594.0,0.55,4
1780265803942,2812.0,0.52,2
1780265805534,1575.0,0.53,2
1780265807013,1445.0,0.54,2
1780265808488,1466.0,0.55,1
1780265811214,2724.0,0.53,1
1780265812845,1613.0,0.53,5
1780265814474,1608.0,0.54,4
1780265816120,1622.0,0.54,4
1780265819138,3006.0,0.52,4
1780265820768,1588.0,0.53,3
1780265822346,1537.0,0.53,1
1780265824005,1658.0,0.53,1
1780265826992,2960.0,0.52,1
1780265828788,1763.0,0.52,0
1780265830579,1744.0,0.52,1
1780265832215,1608.0,0.53,1
1780265835394,3157.0,0.51,1
1780265837130,1734.0,0.51,1
1780265838945,1772.0,0.52,1
1780265840854,1893.0,0.52,1
1780265843998,3100.0,0.5,3
1780265845882,1849.0,0.51,1
1780265847587,1687.0,0.51,1
1780265849341,1746.0,0.51,0
1780265852606,3233.0,0.49,1
1780265854209,1593.0,0.49,1
1780265856195,1959.0,0.5,1
1780265858151,1911.0,0.5,0
1780265861322,3144.0,0.49,0
1780265863197,1859.0,0.48,0
1780265864886,1685.0,0.49,0
1780265866622,1734.0,0.49,0
1780265869759,3084.0,0.48,0
1780265871403,1643.0,0.48,0
1780265873186,1750.0,0.48,0
1780265874937,1749.0,0.48,0
